Date,HomeTeam,AwayTeam,H,D,A,O25,Div,kaynak,FTHG,FTAG,home_n,away_n,FTR,Over25,BTTS
2026-09-16,Taborsko,Teplice,4.04,3.95,1.73,,Mol Cup,soccerbets,0.0,5.0,taborsko,teplice,A,1.0,0.0
2026-09-16,Varnsdorf,Slavia Prague,12.79,10.59,1.08,,Mol Cup,soccerbets,1.0,5.0,varnsdorf,slavia prague,A,1.0,1.0
2026-09-16,Vitkovice,Artis Brno,6.52,5.62,1.27,,Mol Cup,soccerbets,0.0,3.0,vitkovice,artis brno,A,1.0,0.0
2026-09-16,Bremer,VfB Oldenburg,4.8,5.35,1.47,,Regionalliga North,soccerbets,0.0,4.0,bremer,vfb oldenburg,A,1.0,0.0
2026-09-16,Nissa,Trapani,1.47,4.26,5.07,,Serie D - Group I,soccerbets,2.0,0.0,nissa,trapani,H,0.0,0.0
2026-09-16,Brabrand,Viborg,19.56,8.91,1.09,,Betano Pokalen,soccerbets,2.0,1.0,brabrand,viborg,H,1.0,1.0
2026-09-16,Horsholm-Usserod,Aarhus Fremad,7.55,5.37,1.27,,Betano Pokalen,soccerbets,1.0,1.0,horsholm usserod,aarhus fremad,D,0.0,1.0
2026-09-16,Naesby,Horsens,6.3,5.17,1.34,,Betano Pokalen,soccerbets,2.0,3.0,naesby,horsens,A,1.0,1.0
2026-09-16,Kifisia,Panathinaikos,6.19,4.24,1.47,,Greek Cup,soccerbets,0.0,2.0,kifisia,panathinaikos,A,0.0,0.0
2026-09-16,Greenville,Corpus Christi FC,1.74,3.74,4.24,,Usl League One,soccerbets,0.0,1.0,greenville,corpus christi,A,0.0,0.0
2026-09-16,Grorud,Tromsdalen,1.49,4.48,5.51,,Division 2 - Group 2,soccerbets,2.0,0.0,grorud,tromsdalen,H,0.0,0.0
